user_screen_name,user_followers_count
spadessda,61
ChristineKabash,204
sacmac11,1301
BustyMuse,6566
ChristinaMann2,7194
CrimsonWave88,62
martinm34060415,1275
HerberMax,3170
YesYouMayhem,28
wendywi43632298,433
FireandRain23,1136
vipulananda,2975
DaMedinaR,4293
FrenchSealOff,40
KrauseForIowa,37722
jadansteph,252
ECummingsMusic,542
Kathy_P,471
Fluoreszierende,651
LovelyRita1022,1526
kaoconnor,5532
heyyolanda50,515
Aleethiaa,26
BrianD67,786
digitaljournal,18744
jdf754,1547
MaryToken,9
FourWayPolitics,21
speranza_viva,1433
MarkAttwood,2205
johndeluca19,53
teleamazonasec,2210106
baxman53,50
Matthew25_73,40
MrNahnsee,3345
tooronlists,1987
mickbognor,468
TomasEVazquez,108
BilliesHoliday,2079
nonicetime631,63
SGdiamond22,219
sharmanda111,201
CoreyByrd79,11
djb21212,414
SptsGuy1,2267
LibelTrump,547
TrentU23947054,170
TerryGJohnson1,0
Anthony4871,139
DeplorableBride,14036
NanananaBrown,1004
decafc0de,160
SteveKlinko,1276
CCKKI,4672
majidhry,18
IrishinNOLA,9255
BGOnTheScene,74290
POTUSNetwork,220
PhillipMartin2,90
Snowflake202135,65
hollywoodcurry,2368
lorig50ca,1245
TheWhinyTrex69,18
OfWycombe,374
MTRichards400,808
TinderS9,54
WendyDay5013,358
HairKat,102
junior_alfinete,88
sebastianfest,11849
Awoken51,1187
AlZheimerHammer,341
2020Vision6,26
smwg66,103
brockparish,200
6nsinvt,3383
PatWGriffin,1575
CelebInsiderorg,1187
WKS_32,175
djinnsour,14
PeggyEstley,494
Swift01_2000,1071
greenhornetj,5
AoGGaming3,9
spicygingersnap,2404
MasonTBecker,3166
TrehanYoung,304
cheflauracanada,287
BarrellaM16,271
anapaugalde,11835
Zippittydo,3
RLot747,12
dlonorse,1341
Not_Prisuta,172
ForgeRiver,1128
WILLDYE4U,2909
_Anonym0us_FL_,131
shyjt69,2107
TinaENC,1434
kevinscholla,1388
usopendean,486
kjleathers,185
nottoct,162
duhkarinaaa,16
EnergyDepDay,5879
hatepoliticstoo,12
Uncle_Mo_Mentum,22
PKzuzu,10418
NST_Online,725476
GLFanWithAPlan,7
elvincan2,15499
DFiosa,114
ormacheatuco,11925
caroline44441,126
StatesPoll,108181
defnaputra,721
RoyalChantMP,104
WyrdChyk,1676
Monica_DelRocio,519
ShahidKBolsen,1985
thuriancup,115
MGoldschlager,1544
MarkSpr49136812,29
KyleToronto1,8
ronaldbrijlal,98
SassyStylinGal,588
Fluffypnutz,31
Matt89401272,894
Cairo67Unedited,54099
JRDAVIS2000,257
Chojinki,1111
mathieulavoie88,2083
chistosito1,16467
leftygolfer1982,1179
BULLievemeFemme,8
Emolclause,115163
ArcaneTreasures,3310
lucianog,1100
LaurenHolly,58917
pepperaddict23,5
cwsparker,911
thewittywife80,5
BobStrozewski,159
JRE_Ecuador,1260
Bluestar1227,56
TrumpisaCunt10,16
Erictrum,73
S_R_Bevilacqua,5376
diva_bronze,443
richfrancese1,25
PhoenixMcginni1,282
KrutikaKuppalli,18511
DavidDurandMD,85
ZineSceneBlog,402
MissSocksPlease,655
Trump__Train__,215
svizzerams,6450
deanfoulks,52
